location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Wales,2021/1/10,86118,86039,79,
Wales,2021/1/11,91336,91239,97,
Wales,2021/1/12,101479,101371,108,
Wales,2021/1/13,113094,112973,121,
Wales,2021/1/14,126504,126375,129,
Wales,2021/1/17,151938,151737,201,
Wales,2021/1/18,162197,161932,265,
Wales,2021/1/19,176186,175816,370,
Wales,2021/1/20,190831,190435,396,
Wales,2021/1/21,212732,212317,415,
Wales,2021/1/22,241016,240547,469,
Wales,2021/1/23,265054,264538,516,
Wales,2021/1/24,271376,270833,543,
Wales,2021/1/25,290147,289566,581,
Wales,2021/1/26,312944,312305,639,
Wales,2021/1/27,336745,336071,674,
Wales,2021/1/28,362970,362253,717,
Wales,2021/1/29,378950,378200,750,
Wales,2021/1/30,404249,403463,786,
Wales,2021/1/31,417147,416306,841,
Wales,2021/2/1,440706,439640,1066,
Wales,2021/2/2,463657,462497,1160,
Wales,2021/2/3,491786,490570,1216,
Wales,2021/2/4,524677,523042,1635,
Wales,2021/2/5,559468,556997,2471,
Wales,2021/2/6,592228,589622,2606,
Wales,2021/2/7,606768,603976,2792,
Wales,2021/2/8,632251,628760,3491,
Wales,2021/2/9,659106,655419,3687,
Wales,2021/2/10,687892,684097,3795,
Wales,2021/2/11,719954,715944,4010,
Wales,2021/2/12,753669,749445,4224,
Wales,2021/2/13,776224,771651,4573,
Wales,2021/2/14,790211,784809,5402,
Wales,2021/2/15,803178,795927,7251,
Wales,2021/2/16,820339,807351,12988,
Wales,2021/2/17,841975,822633,19342,
Wales,2021/2/18,864498,839065,25433,
Wales,2021/2/19,885906,853904,32002,
Wales,2021/2/20,897856,860083,37773,
Wales,2021/2/21,905000,862248,42752,
Wales,2021/2/22,919382,869653,49729,
Wales,2021/2/23,937785,878506,59279,
Wales,2021/2/24,959121,889270,69851,
Wales,2021/2/25,982396,902334,80062,
Wales,2021/2/26,1005389,916336,89053,
Wales,2021/2/27,1020023,923615,96408,
Wales,2021/2/28,1029488,925669,103819,
Wales,2021/3/1,1045201,933485,111716,
Wales,2021/3/2,1066798,942017,124781,
Wales,2021/3/3,1090985,951540,139445,
Wales,2021/3/4,1121861,967042,154819,
Wales,2021/3/5,1151582,983419,168163,
Wales,2021/3/6,1171113,995059,176054,
Wales,2021/3/7,1182035,998296,183739,
Wales,2021/3/8,1199421,1007391,192030,
Wales,2021/3/9,1225604,1019210,206394,
Wales,2021/3/10,1256043,1034141,221902,
Wales,2021/3/11,1294144,1056787,237357,
Wales,2021/3/12,1334355,1084329,250026,
Wales,2021/3/13,1370896,1113498,257398,
Wales,2021/3/14,1387186,1122931,264255,
Wales,2021/3/15,1412849,1139866,272983,
Wales,2021/3/16,1446436,1157251,289185,
Wales,2021/3/17,1484566,1180155,304411,
Wales,2021/3/18,1523077,1204101,318976,
Wales,2021/3/19,1561360,1231830,329530,
Wales,2021/3/20,1597728,1258769,338959,
Wales,2021/3/21,1619244,1273186,346058,
Wales,2021/3/22,1641597,1288250,353347,
Wales,2021/3/23,1669777,1302974,366803,
Wales,2021/3/24,1698983,1320188,378795,
Wales,2021/3/25,1731283,1341620,389663,
Wales,2021/3/26,1766098,1365355,400743,
Wales,2021/3/27,1800246,1387583,412663,
Wales,2021/3/28,1817612,1400750,416862,
Wales,2021/3/29,1837726,1413710,424016,
Wales,2021/3/30,1865120,1427183,437937,
Wales,2021/3/31,1893423,1443885,449538,
Wales,2021/4/1,1920657,1460880,459777,
Wales,2021/4/2,1936088,1472643,463445,
Wales,2021/4/3,1949319,1483201,466118,
Wales,2021/4/4,1958055,1490372,467683,
Wales,2021/4/5,1962443,1493192,469251,
Wales,2021/4/6,1978211,1502641,475570,
Wales,2021/4/7,2004499,1519760,484739,
Wales,2021/4/8,2035440,1537122,498318,
Wales,2021/4/9,2065794,1556316,509478,
Wales,2021/4/10,2097929,1572752,525177,
Wales,2021/4/11,2116050,1587851,528199,
Wales,2021/4/12,2140134,1602939,537195,
Wales,2021/4/13,2170475,1621282,549193,
Wales,2021/4/14,2199933,1640045,559888,
Wales,2021/4/15,2231618,1657028,574590,
Wales,2021/4/16,2262112,1673279,588833,
Wales,2021/4/17,2286756,1685298,601458,
Wales,2021/4/18,2295270,1692463,602807,
Wales,2021/4/19,2309974,1699092,610882,
Wales,2021/4/20,2334885,1712372,622513,
Wales,2021/4/21,2363110,1727455,635655,
Wales,2021/4/22,2395810,1742273,653537,
Wales,2021/4/23,2428519,1758106,670413,
Wales,2021/4/24,2455634,1768585,687049,
Wales,2021/4/25,2466909,1777375,689534,
Wales,2021/4/26,2486446,1785347,701099,
Wales,2021/4/27,2515853,1800428,715425,
Wales,2021/4/28,2549094,1816451,732643,
Wales,2021/4/29,2579664,1830964,748700,
Wales,2021/4/30,2611925,1846896,765029,
Wales,2021/5/1,2624406,1854687,769719,
Wales,2021/5/2,2632669,1861391,771278,
Wales,2021/5/3,2636927,1864400,772527,
Wales,2021/5/4,2656272,1873152,783120,
Wales,2021/5/5,2683297,1884372,798925,
Wales,2021/5/6,2711041,1895998,815043,
Wales,2021/5/7,2740808,1909659,831149,
Wales,2021/5/8,2764928,1922881,842047,
Wales,2021/5/9,2781183,1935003,846180,
Wales,2021/5/10,2803124,1948683,854441,
Wales,2021/5/11,2825139,1961670,863469,
Wales,2021/5/12,2853576,1975820,877756,
Wales,2021/5/13,2882352,1990783,891569,
Wales,2021/5/14,2911799,2005939,905860,
Wales,2021/5/15,2934834,2019160,915674,
Wales,2021/5/16,2945234,2027803,917431,
Wales,2021/5/17,2963120,2035905,927215,
Wales,2021/5/18,2985083,2046011,939072,
Wales,2021/5/19,3010574,2058106,952468,
Wales,2021/5/20,3039371,2069689,969682,
Wales,2021/5/21,3065687,2081036,984651,
Wales,2021/5/22,3092530,2091824,1000706,
Wales,2021/5/23,3102945,2099263,1003682,
Wales,2021/5/24,3124549,2105319,1019230,
Wales,2021/5/25,3150396,2112647,1037749,
Wales,2021/5/26,3178513,2120049,1058464,
Wales,2021/5/27,3209225,2128063,1081162,
Wales,2021/5/28,3238108,2135359,1102749,
Wales,2021/5/29,3253356,2141427,1111929,
Wales,2021/5/30,3260040,2146071,1113969,
Wales,2021/5/31,3265670,2147274,1118396,
Wales,2021/6/1,3290821,2152709,1138112,
Wales,2021/6/2,3318932,2161028,1157904,
Wales,2021/6/3,3350883,2169624,1181259,
Wales,2021/6/4,3383612,2175013,1208599,
Wales,2021/6/5,3416953,2179830,1237123,
Wales,2021/6/6,3432723,2183455,1249268,
Wales,2021/6/7,3456033,2185427,1270606,
Wales,2021/6/8,3482159,2190460,1291699,
Wales,2021/6/9,3509853,2195485,1314368,
Wales,2021/6/10,3538144,2201665,1336479,
Wales,2021/6/11,3565508,2207350,1358158,
Wales,2021/6/12,3591060,2213050,1378010,
Wales,2021/6/13,3600704,2216031,1384673,
Wales,2021/6/14,3629027,2218103,1410924,
Wales,2021/6/15,3654482,2222281,1432201,
Wales,2021/6/16,3679563,2225499,1454064,
Wales,2021/6/17,3702459,2228532,1473927,
Wales,2021/6/18,3723782,2233036,1490746,
Wales,2021/6/19,3745235,2236091,1509144,
Wales,2021/6/20,3755314,2237710,1517604,
Wales,2021/6/21,3773644,2239271,1534373,
Wales,2021/6/22,3795573,2242482,1553091,
Wales,2021/6/23,3817594,2245884,1571710,
Wales,2021/6/24,3839334,2248012,1591322,
Wales,2021/6/25,3857911,2250126,1607785,
Wales,2021/6/26,3870746,2252270,1618476,
Wales,2021/6/27,3880456,2253214,1627242,
Wales,2021/6/28,3897827,2255039,1642788,
Wales,2021/6/29,3917491,2257737,1659754,
Wales,2021/6/30,3937360,2259622,1677738,
Wales,2021/7/1,3956875,2261056,1695819,
Wales,2021/7/2,3974818,2262284,1712534,
Wales,2021/7/3,3987599,2263775,1723824,
Wales,2021/7/4,3995606,2264974,1730632,
Wales,2021/7/5,4012192,2266056,1746136,
Wales,2021/7/6,4032280,2267640,1764640,
Wales,2021/7/7,4052210,2269131,1783079,
Wales,2021/7/8,4068777,2270517,1798260,
Wales,2021/7/9,4082121,2271925,1810196,
Wales,2021/7/10,4098728,2273561,1825167,
Wales,2021/7/11,4106971,2274421,1832550,
Wales,2021/7/12,4121807,2275764,1846043,
Wales,2021/7/13,4138755,2277055,1861700,
Wales,2021/7/14,4154913,2278204,1876709,
Wales,2021/7/15,4171221,2279139,1892082,
Wales,2021/7/16,4186094,2280674,1905420,
Wales,2021/7/17,4199989,2281644,1918345,
Wales,2021/7/18,4207494,2282410,1925084,
