iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
DNK,2020-12-18,2,2,0,0
DNK,2020-12-25,11,11,0,0
DNK,2021-01-01,5067,5067,0,0
DNK,2021-01-08,91917,91913,6,0
DNK,2021-01-15,136676,136136,543,0
DNK,2021-01-22,166577,145371,21210,0
DNK,2021-01-29,218408,149206,69206,0
DNK,2021-02-05,269167,157012,112159,0
DNK,2021-02-12,327882,191988,135898,0
DNK,2021-02-19,407157,264874,142288,0
DNK,2021-02-26,515809,365808,149999,7
DNK,2021-03-05,634023,468375,165647,12
DNK,2021-03-12,721187,510833,210347,27
DNK,2021-03-19,816528,557148,259429,28
DNK,2021-03-26,912375,607622,304841,33
DNK,2021-04-02,1027900,687859,340178,40
DNK,2021-04-09,1167874,790218,377923,50
DNK,2021-04-16,1401058,973825,427504,60
DNK,2021-04-23,1615617,1119760,496118,72
DNK,2021-04-30,1844584,1261985,582875,102
DNK,2021-05-07,2171659,1398019,773950,123
DNK,2021-05-14,2496405,1554089,942700,142
DNK,2021-05-21,2842951,1760592,1082888,154
DNK,2021-05-28,3168121,2018553,1150998,171
DNK,2021-06-04,3532818,2277567,1265865,184
DNK,2021-06-11,3976107,2608851,1395967,199
DNK,2021-06-18,4414475,2909384,1543062,210
DNK,2021-06-25,4829260,3129934,1740744,222
DNK,2021-07-02,5255907,3298419,2000564,235
DNK,2021-07-09,5766657,3572287,2237972,259
DNK,2021-07-16,6295534,3797029,2542366,283
DNK,2021-07-23,6784429,3971429,2857059,306
DNK,2021-07-30,7140976,4086150,3098968,343
DNK,2021-08-06,7483493,4160324,3367383,375
DNK,2021-08-13,7864398,4207527,3701113,423
DNK,2021-08-20,8111181,4245906,3909522,472
DNK,2021-08-27,8278683,4276235,4046701,531
DNK,2021-09-03,8382418,4296224,4130363,642
DNK,2021-09-10,8449380,4309974,4178715,5509
DNK,2021-09-17,8513404,4320566,4212666,24998
DNK,2021-09-24,8566114,4329131,4239387,42423
DNK,2021-10-01,8604008,4335862,4259054,53929
DNK,2021-10-08,8649395,4342224,4277198,74818
DNK,2021-10-15,8701096,4348049,4291190,106702
DNK,2021-10-22,8793334,4354640,4302333,181180
DNK,2021-10-29,8886609,4363826,4313241,254343
DNK,2021-11-05,8976912,4375879,4323115,322711
DNK,2021-11-12,9097201,4402330,4335787,403866
DNK,2021-11-19,9250203,4426120,4348476,520396
DNK,2021-11-26,9469712,4445844,4362659,706000
DNK,2021-12-03,9713269,4485954,4384441,887689
DNK,2021-12-10,10088821,4557256,4411246,1165113
DNK,2021-12-17,10961865,4639370,4437888,1929334
DNK,2021-12-24,11476237,4671202,4459847,2389867
DNK,2021-12-31,11882638,4693570,4507799,2725924
DNK,2022-01-07,12270684,4712730,4587489,3015070
