iso_code,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
ARG,2020/1/1,'3-11',0,0,0
ARG,2020/1/1,'12-17',0,0,0
ARG,2020/1/1,'18-29',0,0,0
ARG,2020/1/1,'30-39',0,0,0
ARG,2020/1/1,'40-49',0,0,0
ARG,2020/1/1,'50-59',0,0,0
ARG,2020/1/1,'60-69',0,0,0
ARG,2020/1/1,'70-79',0,0,0
ARG,2020/1/1,'80-89',0,0,0
ARG,2020/1/1,'90-99',0,0,0
ARG,2020/1/1,'100+',0,0,0
ARG,2020/1/2,'3-11',0,0,0
ARG,2020/1/2,'12-17',0,0,0
ARG,2020/1/2,'18-29',0,0,0
ARG,2020/1/2,'30-39',0,0,0
ARG,2020/1/2,'40-49',0,0,0
ARG,2020/1/2,'50-59',0,0,0
ARG,2020/1/2,'60-69',0,0,0
ARG,2020/1/2,'70-79',0,0,0
ARG,2020/1/2,'80-89',0,0,0
ARG,2020/1/2,'90-99',0,0,0
ARG,2020/1/2,'100+',0,0,0
ARG,2020/1/3,'3-11',0,0,0
ARG,2020/1/3,'12-17',0,0,0
ARG,2020/1/3,'18-29',0,0,0
ARG,2020/1/3,'30-39',0,0,0
ARG,2020/1/3,'40-49',0,0,0
ARG,2020/1/3,'50-59',0,0,0
ARG,2020/1/3,'60-69',0,0,0
ARG,2020/1/3,'70-79',0,0,0
ARG,2020/1/3,'80-89',0,0,0
ARG,2020/1/3,'90-99',0,0,0
ARG,2020/1/3,'100+',0,0,0
ARG,2020/1/4,'3-11',0,0,0
ARG,2020/1/4,'12-17',0,0,0
ARG,2020/1/4,'18-29',0,0,0
ARG,2020/1/4,'30-39',0,0,0
ARG,2020/1/4,'40-49',0,0,0
ARG,2020/1/4,'50-59',0,0,0
ARG,2020/1/4,'60-69',0,0,0
ARG,2020/1/4,'70-79',0,0,0
ARG,2020/1/4,'80-89',0,0,0
ARG,2020/1/4,'90-99',0,0,0
ARG,2020/1/4,'100+',0,0,0
ARG,2020/1/5,'3-11',0,0,0
ARG,2020/1/5,'12-17',0,0,0
ARG,2020/1/5,'18-29',0,0,0
ARG,2020/1/5,'30-39',0,0,0
ARG,2020/1/5,'40-49',0,0,0
ARG,2020/1/5,'50-59',0,0,0
ARG,2020/1/5,'60-69',0,0,0
ARG,2020/1/5,'70-79',0,0,0
ARG,2020/1/5,'80-89',0,0,0
ARG,2020/1/5,'90-99',0,0,0
ARG,2020/1/5,'100+',0,0,0
ARG,2020/1/6,'3-11',0,0,0
ARG,2020/1/6,'12-17',0,0,0
ARG,2020/1/6,'18-29',0,0,0
ARG,2020/1/6,'30-39',0,0,0
ARG,2020/1/6,'40-49',0,0,0
ARG,2020/1/6,'50-59',0,0,0
ARG,2020/1/6,'60-69',0,0,0
ARG,2020/1/6,'70-79',0,0,0
ARG,2020/1/6,'80-89',0,0,0
ARG,2020/1/6,'90-99',0,0,0
ARG,2020/1/6,'100+',0,0,0
ARG,2020/1/7,'3-11',0,0,0
ARG,2020/1/7,'12-17',0,0,0
ARG,2020/1/7,'18-29',0,0,0
ARG,2020/1/7,'30-39',0,0,0
ARG,2020/1/7,'40-49',0,0,0
ARG,2020/1/7,'50-59',0,0,0
ARG,2020/1/7,'60-69',0,0,0
ARG,2020/1/7,'70-79',0,0,0
ARG,2020/1/7,'80-89',0,0,0
ARG,2020/1/7,'90-99',0,0,0
ARG,2020/1/7,'100+',0,0,0
ARG,2020/1/8,'3-11',0,0,0
ARG,2020/1/8,'12-17',0,0,0
ARG,2020/1/8,'18-29',0,0,0
ARG,2020/1/8,'30-39',0,0,0
ARG,2020/1/8,'40-49',0,0,0
ARG,2020/1/8,'50-59',0,0,0
ARG,2020/1/8,'60-69',0,0,0
ARG,2020/1/8,'70-79',0,0,0
ARG,2020/1/8,'80-89',0,0,0
