iso_code,Year,p_source_link,record_populations
ABW,2022,https://population.un.org/wpp/Download/Standard/CSV/,106459
AFG,2022,https://population.un.org/wpp/Download/Standard/CSV/,41128772
AGO,2022,https://population.un.org/wpp/Download/Standard/CSV/,35588996
AIA,2022,https://population.un.org/wpp/Download/Standard/CSV/,15877
ALB,2022,https://population.un.org/wpp/Download/Standard/CSV/,2842318
AND,2022,https://population.un.org/wpp/Download/Standard/CSV/,79843
ARE,2022,https://population.un.org/wpp/Download/Standard/CSV/,9441138
ARG,2022,https://population.un.org/wpp/Download/Standard/CSV/,45510324
ARM,2022,https://population.un.org/wpp/Download/Standard/CSV/,2780472
ATG,2022,https://population.un.org/wpp/Download/Standard/CSV/,93772
AUS,2022,https://population.un.org/wpp/Download/Standard/CSV/,26177410
AUT,2022,https://population.un.org/wpp/Download/Standard/CSV/,8939617
AZE,2022,https://population.un.org/wpp/Download/Standard/CSV/,10358078
BDI,2022,https://population.un.org/wpp/Download/Standard/CSV/,12889583
BEL,2022,https://population.un.org/wpp/Download/Standard/CSV/,11655923
BEN,2022,https://population.un.org/wpp/Download/Standard/CSV/,13352864
BES,2022,https://population.un.org/wpp/Download/Standard/CSV/,27052
BFA,2022,https://population.un.org/wpp/Download/Standard/CSV/,22673764
BGD,2022,https://population.un.org/wpp/Download/Standard/CSV/,171186368
BGR,2022,https://population.un.org/wpp/Download/Standard/CSV/,6781955
BHR,2022,https://population.un.org/wpp/Download/Standard/CSV/,1472237
BHS,2022,https://population.un.org/wpp/Download/Standard/CSV/,409989
BIH,2022,https://population.un.org/wpp/Download/Standard/CSV/,3233530
BLR,2022,https://population.un.org/wpp/Download/Standard/CSV/,9534956
BLZ,2022,https://population.un.org/wpp/Download/Standard/CSV/,405285
BMU,2022,https://population.un.org/wpp/Download/Standard/CSV/,64207
BOL,2022,https://population.un.org/wpp/Download/Standard/CSV/,12224114
BRA,2022,https://population.un.org/wpp/Download/Standard/CSV/,215313504
BRB,2022,https://population.un.org/wpp/Download/Standard/CSV/,281646
BRN,2022,https://population.un.org/wpp/Download/Standard/CSV/,449002
BTN,2022,https://population.un.org/wpp/Download/Standard/CSV/,782457
BWA,2022,https://population.un.org/wpp/Download/Standard/CSV/,2630300
CAF,2022,https://population.un.org/wpp/Download/Standard/CSV/,5579148
CAN,2022,https://population.un.org/wpp/Download/Standard/CSV/,38454328
CHE,2022,https://population.un.org/wpp/Download/Standard/CSV/,8740471
CHL,2022,https://population.un.org/wpp/Download/Standard/CSV/,19603736
CHN,2022,https://population.un.org/wpp/Download/Standard/CSV/,1425887360
CIV,2022,https://population.un.org/wpp/Download/Standard/CSV/,28160548
CMR,2022,https://population.un.org/wpp/Download/Standard/CSV/,27914542
COD,2022,https://population.un.org/wpp/Download/Standard/CSV/,99010216
COG,2022,https://population.un.org/wpp/Download/Standard/CSV/,5970430
COK,2022,https://population.un.org/wpp/Download/Standard/CSV/,17032
COL,2022,https://population.un.org/wpp/Download/Standard/CSV/,51874028
COM,2022,https://population.un.org/wpp/Download/Standard/CSV/,836783
CPV,2022,https://population.un.org/wpp/Download/Standard/CSV/,593162
CRI,2022,https://population.un.org/wpp/Download/Standard/CSV/,5180836
CUB,2022,https://population.un.org/wpp/Download/Standard/CSV/,11212198
