iso_code,Manufacturer,date,qunatity
ARG,Oxford/AstraZeneca,2020-12-29,1
ARG,Sinopharm/Beijing,2020-12-29,1
ARG,Sputnik V,2020-12-29,20493
ARG,Sputnik V,2020-12-30,40595
ARG,Sputnik V,2020-12-31,43401
ARG,Oxford/AstraZeneca,2021-01-01,3
ARG,Sputnik V,2021-01-01,43528
ARG,Oxford/AstraZeneca,2021-01-02,4
ARG,Pfizer/BioNTech,2021-01-02,1
ARG,Sputnik V,2021-01-02,46838
ARG,Pfizer/BioNTech,2021-01-03,3
ARG,Sputnik V,2021-01-03,47282
ARG,Sputnik V,2021-01-04,57745
ARG,Sinopharm/Beijing,2021-01-05,5
ARG,Sputnik V,2021-01-05,68472
ARG,Oxford/AstraZeneca,2021-01-06,5
ARG,Pfizer/BioNTech,2021-01-06,6
ARG,Sinopharm/Beijing,2021-01-06,8
ARG,Sputnik V,2021-01-06,78585
ARG,Oxford/AstraZeneca,2021-01-07,9
ARG,Pfizer/BioNTech,2021-01-07,8
ARG,Sinopharm/Beijing,2021-01-07,10
ARG,Sputnik V,2021-01-07,96811
ARG,Oxford/AstraZeneca,2021-01-08,10
ARG,Sputnik V,2021-01-08,124704
ARG,Oxford/AstraZeneca,2021-01-09,11
ARG,Pfizer/BioNTech,2021-01-09,9
ARG,Sinopharm/Beijing,2021-01-09,11
ARG,Sputnik V,2021-01-09,134912
ARG,Pfizer/BioNTech,2021-01-10,12
ARG,Sinopharm/Beijing,2021-01-10,12
ARG,Sputnik V,2021-01-10,136087
ARG,Oxford/AstraZeneca,2021-01-11,12
ARG,Sinopharm/Beijing,2021-01-11,14
ARG,Sputnik V,2021-01-11,155915
ARG,Oxford/AstraZeneca,2021-01-12,14
ARG,Pfizer/BioNTech,2021-01-12,13
ARG,Sinopharm/Beijing,2021-01-12,17
ARG,Sputnik V,2021-01-12,175306
ARG,Moderna,2021-01-13,1
ARG,Oxford/AstraZeneca,2021-01-13,15
ARG,Sinopharm/Beijing,2021-01-13,21
ARG,Sputnik V,2021-01-13,192078
ARG,Pfizer/BioNTech,2021-01-14,14
ARG,Sinopharm/Beijing,2021-01-14,22
ARG,Sputnik V,2021-01-14,208726
ARG,Sputnik V,2021-01-15,226173
ARG,Sputnik V,2021-01-16,232058
ARG,Pfizer/BioNTech,2021-01-17,15
ARG,Sputnik V,2021-01-17,233121
ARG,Pfizer/BioNTech,2021-01-18,16
ARG,Sputnik V,2021-01-18,242954
ARG,CanSino,2021-01-19,1
ARG,Sinopharm/Beijing,2021-01-19,24
ARG,Sputnik V,2021-01-19,256208
ARG,Sputnik V,2021-01-20,275642
ARG,Oxford/AstraZeneca,2021-01-21,20
ARG,Sinopharm/Beijing,2021-01-21,26
ARG,Sputnik V,2021-01-21,289756
ARG,Oxford/AstraZeneca,2021-01-22,23
ARG,Sinopharm/Beijing,2021-01-22,27
ARG,Sputnik V,2021-01-22,298976
ARG,Oxford/AstraZeneca,2021-01-23,28
ARG,Sputnik V,2021-01-23,302921
ARG,Oxford/AstraZeneca,2021-01-24,29
ARG,Sputnik V,2021-01-24,303224
ARG,Oxford/AstraZeneca,2021-01-25,37
ARG,Sputnik V,2021-01-25,317436
ARG,Oxford/AstraZeneca,2021-01-26,75
ARG,Sinopharm/Beijing,2021-01-26,28
ARG,Sputnik V,2021-01-26,330214
ARG,Oxford/AstraZeneca,2021-01-27,77
ARG,Sputnik V,2021-01-27,340327
ARG,Oxford/AstraZeneca,2021-01-28,78
ARG,Sputnik V,2021-01-28,356376
ARG,Oxford/AstraZeneca,2021-01-29,79
ARG,Sputnik V,2021-01-29,379880
ARG,Sputnik V,2021-01-30,389196
ARG,CanSino,2021-01-31,2
ARG,Sinopharm/Beijing,2021-01-31,29
ARG,Sputnik V,2021-01-31,389819
ARG,Oxford/AstraZeneca,2021-02-01,98
ARG,Sinopharm/Beijing,2021-02-01,30
ARG,Sputnik V,2021-02-01,409335
ARG,Oxford/AstraZeneca,2021-02-02,131
ARG,Sputnik V,2021-02-02,433186
ARG,Oxford/AstraZeneca,2021-02-03,139
ARG,Sinopharm/Beijing,2021-02-03,33
ARG,Sputnik V,2021-02-03,459800
ARG,Moderna,2021-02-04,2
ARG,Oxford/AstraZeneca,2021-02-04,144
ARG,Sinopharm/Beijing,2021-02-04,56
ARG,Sputnik V,2021-02-04,487914
ARG,CanSino,2021-02-05,4
ARG,Oxford/AstraZeneca,2021-02-05,149
ARG,Sinopharm/Beijing,2021-02-05,63
ARG,Sputnik V,2021-02-05,520948
ARG,Sinopharm/Beijing,2021-02-06,68
ARG,Sputnik V,2021-02-06,531875
ARG,Oxford/AstraZeneca,2021-02-07,150
ARG,Sinopharm/Beijing,2021-02-07,72
ARG,Sputnik V,2021-02-07,533255
ARG,Oxford/AstraZeneca,2021-02-08,152
ARG,Sinopharm/Beijing,2021-02-08,74
ARG,Sputnik V,2021-02-08,556688
ARG,Moderna,2021-02-09,3
ARG,Oxford/AstraZeneca,2021-02-09,154
ARG,Sinopharm/Beijing,2021-02-09,80
ARG,Sputnik V,2021-02-09,576884
ARG,Oxford/AstraZeneca,2021-02-10,157
ARG,Sinopharm/Beijing,2021-02-10,85
ARG,Sputnik V,2021-02-10,592505
ARG,Oxford/AstraZeneca,2021-02-11,160
ARG,Sinopharm/Beijing,2021-02-11,91
ARG,Sputnik V,2021-02-11,610358
ARG,Oxford/AstraZeneca,2021-02-12,161
ARG,Sinopharm/Beijing,2021-02-12,92
ARG,Sputnik V,2021-02-12,626200
ARG,Oxford/AstraZeneca,2021-02-13,163
ARG,Sinopharm/Beijing,2021-02-13,94
ARG,Sputnik V,2021-02-13,629232
ARG,Sinopharm/Beijing,2021-02-14,96
ARG,Sputnik V,2021-02-14,629383
ARG,Pfizer/BioNTech,2021-02-15,17
ARG,Sinopharm/Beijing,2021-02-15,98
ARG,Sputnik V,2021-02-15,630698
ARG,Oxford/AstraZeneca,2021-02-16,175
ARG,Pfizer/BioNTech,2021-02-16,18
ARG,Sinopharm/Beijing,2021-02-16,100
ARG,Sputnik V,2021-02-16,631996
ARG,Oxford/AstraZeneca,2021-02-17,186
ARG,Sinopharm/Beijing,2021-02-17,103
ARG,Sputnik V,2021-02-17,656399
ARG,Oxford/AstraZeneca,2021-02-18,217
ARG,Pfizer/BioNTech,2021-02-18,19
ARG,Sinopharm/Beijing,2021-02-18,107
ARG,Sputnik V,2021-02-18,720212
ARG,Oxford/AstraZeneca,2021-02-19,407
ARG,Sinopharm/Beijing,2021-02-19,108
ARG,Sputnik V,2021-02-19,787933
ARG,Oxford/AstraZeneca,2021-02-20,555
ARG,Sinopharm/Beijing,2021-02-20,109
ARG,Sputnik V,2021-02-20,820409
ARG,Oxford/AstraZeneca,2021-02-21,956
ARG,Sputnik V,2021-02-21,840190
ARG,Oxford/AstraZeneca,2021-02-22,23569
ARG,Sputnik V,2021-02-22,885173
ARG,Oxford/AstraZeneca,2021-02-23,73783
ARG,Sinopharm/Beijing,2021-02-23,111
ARG,Sputnik V,2021-02-23,921941
ARG,Oxford/AstraZeneca,2021-02-24,135888
ARG,Sinopharm/Beijing,2021-02-24,114
ARG,Sputnik V,2021-02-24,953704
ARG,Oxford/AstraZeneca,2021-02-25,189066
ARG,Sinopharm/Beijing,2021-02-25,118
ARG,Sputnik V,2021-02-25,980022
ARG,Oxford/AstraZeneca,2021-02-26,245141
ARG,Sinopharm/Beijing,2021-02-26,127
ARG,Sputnik V,2021-02-26,1005664
ARG,Moderna,2021-02-27,4
ARG,Oxford/AstraZeneca,2021-02-27,258491
ARG,Sinopharm/Beijing,2021-02-27,128
ARG,Sputnik V,2021-02-27,1010224
ARG,Oxford/AstraZeneca,2021-02-28,263842
ARG,Sinopharm/Beijing,2021-02-28,129
ARG,Sputnik V,2021-02-28,1011001
ARG,Oxford/AstraZeneca,2021-03-01,317182
ARG,Sinopharm/Beijing,2021-03-01,831
ARG,Sputnik V,2021-03-01,1031548
ARG,Oxford/AstraZeneca,2021-03-02,368832
ARG,Sinopharm/Beijing,2021-03-02,5797
ARG,Sputnik V,2021-03-02,1050580
ARG,Oxford/AstraZeneca,2021-03-03,404831
ARG,Sinopharm/Beijing,2021-03-03,23634
ARG,Sputnik V,2021-03-03,1068274
ARG,Oxford/AstraZeneca,2021-03-04,430562
ARG,Sinopharm/Beijing,2021-03-04,87942
ARG,Sputnik V,2021-03-04,1090340
ARG,Oxford/AstraZeneca,2021-03-05,454862
ARG,Sinopharm/Beijing,2021-03-05,154460
ARG,Sputnik V,2021-03-05,1111289
ARG,Oxford/AstraZeneca,2021-03-06,462781
ARG,Sinopharm/Beijing,2021-03-06,196888
ARG,Sputnik V,2021-03-06,1115893
ARG,Oxford/AstraZeneca,2021-03-07,467757
ARG,Sinopharm/Beijing,2021-03-07,203333
ARG,Sputnik V,2021-03-07,1116270
ARG,Oxford/AstraZeneca,2021-03-08,499342
ARG,Pfizer/BioNTech,2021-03-08,20
ARG,Sinopharm/Beijing,2021-03-08,256286
ARG,Sputnik V,2021-03-08,1134256
ARG,Oxford/AstraZeneca,2021-03-09,515689
ARG,Sinopharm/Beijing,2021-03-09,319405
ARG,Sputnik V,2021-03-09,1170622
ARG,Oxford/AstraZeneca,2021-03-10,527779
ARG,Sinopharm/Beijing,2021-03-10,418153
ARG,Sputnik V,2021-03-10,1223800
ARG,Oxford/AstraZeneca,2021-03-11,537726
