location,Mname,date
DNK,Pfizer/BioNTech,2020/12/18
DNK,Pfizer/BioNTech,2020/12/25
DNK,Pfizer/BioNTech,2021/1/1
DNK,Johnson&Johnson,2021/1/8
DNK,Moderna,2021/1/8
DNK,Pfizer/BioNTech,2021/1/8
DNK,Johnson&Johnson,2021/1/15
DNK,Moderna,2021/1/15
DNK,Oxford/AstraZeneca,2021/1/15
DNK,Pfizer/BioNTech,2021/1/15
DNK,Johnson&Johnson,2021/1/22
DNK,Moderna,2021/1/22
DNK,Oxford/AstraZeneca,2021/1/22
DNK,Pfizer/BioNTech,2021/1/22
DNK,Johnson&Johnson,2021/1/29
DNK,Moderna,2021/1/29
DNK,Oxford/AstraZeneca,2021/1/29
DNK,Pfizer/BioNTech,2021/1/29
DNK,Johnson&Johnson,2021/2/5
DNK,Moderna,2021/2/5
DNK,Oxford/AstraZeneca,2021/2/5
DNK,Pfizer/BioNTech,2021/2/5
DNK,Johnson&Johnson,2021/2/12
DNK,Moderna,2021/2/12
DNK,Oxford/AstraZeneca,2021/2/12
DNK,Pfizer/BioNTech,2021/2/12
DNK,Johnson&Johnson,2021/2/19
DNK,Moderna,2021/2/19
DNK,Oxford/AstraZeneca,2021/2/19
DNK,Pfizer/BioNTech,2021/2/19
DNK,Johnson&Johnson,2021/2/26
DNK,Moderna,2021/2/26
DNK,Oxford/AstraZeneca,2021/2/26
DNK,Pfizer/BioNTech,2021/2/26
DNK,Johnson&Johnson,2021/3/5
DNK,Moderna,2021/3/5
DNK,Oxford/AstraZeneca,2021/3/5
DNK,Pfizer/BioNTech,2021/3/5
DNK,Johnson&Johnson,2021/3/12
DNK,Moderna,2021/3/12
DNK,Oxford/AstraZeneca,2021/3/12
DNK,Pfizer/BioNTech,2021/3/12
DNK,Johnson&Johnson,2021/3/19
DNK,Moderna,2021/3/19
DNK,Oxford/AstraZeneca,2021/3/19
DNK,Pfizer/BioNTech,2021/3/19
DNK,Johnson&Johnson,2021/3/26
DNK,Moderna,2021/3/26
DNK,Oxford/AstraZeneca,2021/3/26
DNK,Pfizer/BioNTech,2021/3/26
DNK,Johnson&Johnson,2021/4/2
DNK,Moderna,2021/4/2
DNK,Oxford/AstraZeneca,2021/4/2
DNK,Pfizer/BioNTech,2021/4/2
DNK,Johnson&Johnson,2021/4/9
DNK,Moderna,2021/4/9
DNK,Oxford/AstraZeneca,2021/4/9
DNK,Pfizer/BioNTech,2021/4/9
DNK,Johnson&Johnson,2021/4/16
DNK,Moderna,2021/4/16
DNK,Oxford/AstraZeneca,2021/4/16
DNK,Pfizer/BioNTech,2021/4/16
DNK,Johnson&Johnson,2021/4/23
DNK,Moderna,2021/4/23
DNK,Oxford/AstraZeneca,2021/4/23
DNK,Pfizer/BioNTech,2021/4/23
DNK,Johnson&Johnson,2021/4/30
DNK,Moderna,2021/4/30
DNK,Oxford/AstraZeneca,2021/4/30
DNK,Pfizer/BioNTech,2021/4/30
DNK,Johnson&Johnson,2021/5/7
