iso_code,location_name,OM1,OM1_total_administered_vaccine,OM2,OM2_total_administered_vaccine,difference
ABW,Aruba,2022-04,331781,2022-05,209249,-122532
AFG,Afghanistan,2022-04,27227983,2022-05,30214085,2986102
AGO,Angola,2022-04,156708,2022-05,60199,-96509
AIA,Anguilla,2022-04,10678,2022-05,19468,8790
ALB,Albania,2022-04,654,2022-05,313,-341
AND,Andorra,2022-04,178878,2022-05,502072,323194
ARE,United Arab Emirates,2022-04,0,2022-05,17,No valid data collected for OM1
ARG,Argentina,2022-04,252,2022-05,155,-97
ARM,Armenia,2022-04,196598,2022-05,137538,-59060
ATG,Antigua and Barbuda,2022-04,386,2022-05,540,154
AUS,Australia,2022-04,1431,2022-05,974,-457
AUT,Austria,2022-04,761030517,2022-05,661732088,-99298429
AZE,Azerbaijan,2022-04,78060,2022-05,777152,699092
BDI,Burundi,2022-04,4479777,2022-05,7300976,2821199
BEL,Belgium,2022-04,1195302,2022-05,568526,-626776
BEN,Benin,2022-04,111920,2022-05,65634,-46286
BES,Bonaire Sint Eustatius and Saba,2022-04,0,2022-05,0,No valid data collected for the selected month
BFA,Burkina Faso,2022-04,1230,2022-05,1263,33
BGD,Bangladesh,2022-04,1556,2022-05,1741327,1739771
BGR,Bulgaria,2022-04,51762,2022-05,15547,-36215
BHR,Bahrain,2022-04,737904,2022-05,609876,-128028
BHS,Bahamas,2022-04,618623,2022-05,163060,-455563
BIH,Bosnia and Herzegovina,2022-04,0,2022-05,0,No valid data collected for the selected month
BLR,Belarus,2022-04,14707,2022-05,4509,-10198
BLZ,Belize,2022-04,66209,2022-05,83300,17091
BMU,Bermuda,2022-04,8021,2022-05,7896,-125
BOL,Bolivia,2022-04,209491,2022-05,209788,297
BRA,Brazil,2022-04,1172529,2022-05,631746,-540783
BRB,Barbados,2022-04,45133,2022-05,91448,46315
BRN,Brunei,2022-04,4029911,2022-05,8547414,4517503
BTN,Bhutan,2022-04,3916,2022-05,5433,1517
BWA,Botswana,2022-04,165337,2022-05,172636,7299
CAF,Central African Republic,2022-04,236431,2022-05,505679,269248
CAN,Canada,2022-04,16899,2022-05,31986,15087
CHE,Switzerland,2022-04,1063,2022-05,1211,148
CHL,Chile,2022-04,4254949,2022-05,325609,-3929340
CHN,China,2022-04,18198,2022-05,272538,254340
CIV,Cote d'Ivoire,2022-04,1006022,2022-05,2018331,1012309
CMR,Cameroon,2022-04,93516,2022-05,49930,-43586
COD,Democratic Republic of Congo,2022-04,3429,2022-05,6102,2673
COG,Congo,2022-04,30,2022-05,31,1
COK,Cook Islands,2022-04,113392,2022-05,69069,-44323
COL,Colombia,2022-04,27615,2022-05,93458,65843
COM,Comoros,2022-04,3767565,2022-05,5224255,1456690
CPV,Cape Verde,2022-04,443730,2022-05,458521,14791
CRI,Costa Rica,2022-04,232252716,2022-05,131844141,-100408575
CUB,Cuba,2022-04,1639336,2022-05,1164330,-475006
CUW,Curacao,2022-04,24370,2022-05,22389,-1981
CYM,Cayman Islands,2022-04,30,2022-05,31,1
CYP,Cyprus,2022-04,159900,2022-05,83764,-76136
CZE,Czechia,2022-04,1968900,2022-05,852709,-1116191
DEU,Germany,2022-04,4459637,2022-05,7234872,2775235
DJI,Djibouti,2022-04,105761,2022-05,57502,-48259
DMA,Dominica,2022-04,720,2022-05,1230,510
DNK,Denmark,2022-04,1260,2022-05,1106,-154
DOM,Dominican Republic,2022-04,6292,2022-05,2992,-3300
DZA,Algeria,2022-04,1594672,2022-05,1223260,-371412
ECU,Ecuador,2022-04,152401,2022-05,42746,-109655
EGY,Egypt,2022-04,18240,2022-05,18848,608
ESP,Spain,2022-04,882,2022-05,2264,1382
EST,Estonia,2022-04,59562,2022-05,97208,37646
ETH,Ethiopia,2022-04,754592,2022-05,771334,16742
FIN,Finland,2022-04,1516976,2022-05,963465,-553511
FJI,Fiji,2022-04,5060300,2022-05,4329418,-730882
FLK,Falkland Islands,2022-04,0,2022-05,0,No valid data collected for the selected month
FRA,France,2022-04,36230,2022-05,16577,-19653
FRO,Faeroe Islands,2022-04,0,2022-05,0,No valid data collected for the selected month
GAB,Gabon,2022-04,149,2022-05,607,458
GBR,United Kingdom,2022-04,106444,2022-05,62004,-44440
GEO,Georgia,2022-04,1159985,2022-05,5308829,4148844
GGY,Guernsey,2022-04,25693703,2022-05,43202819,17509116
GHA,Ghana,2022-04,16207115,2022-05,10832509,-5374606
GIB,Gibraltar,2022-04,35012628,2022-05,95695266,60682638
GIN,Guinea,2022-04,20646,2022-05,46704,26058
GMB,Gambia,2022-04,198702,2022-05,180888,-17814
GNB,Guinea-Bissau,2022-04,523770,2022-05,919533,395763
GNQ,Equatorial Guinea,2022-04,2460,2022-05,54896,52436
GRC,Greece,2022-04,1127419,2022-05,1042753,-84666
GRD,Grenada,2022-04,210,2022-05,217,7
GRL,Greenland,2022-04,0,2022-05,0,No valid data collected for the selected month
GTM,Guatemala,2022-04,111678,2022-05,83247,-28431
GUY,Guyana,2022-04,9972,2022-05,5947,-4025
HKG,Hong Kong,2022-04,2464299,2022-05,2325237,-139062
HND,Honduras,2022-04,3385,2022-05,424,-2961
HRV,Croatia,2022-04,1830542,2022-05,801752,-1028790
HTI,Haiti,2022-04,1651,2022-05,2893,1242
HUN,Hungary,2022-04,30,2022-05,31,1
IDN,Indonesia,2022-04,63543,2022-05,34002,-29541
IMN,Isle of Man,2022-04,497710,2022-05,575162,77452
IND,India,2022-04,983587,2022-05,26492,-957095
IRL,Ireland,2022-04,13114,2022-05,22990,9876
IRN,Iran,2022-04,23170,2022-05,15226,-7944
IRQ,Iraq,2022-04,30410725,2022-05,35968834,5558109
ISL,Iceland,2022-04,0,2022-05,0,No valid data collected for the selected month
ISR,Israel,2022-04,397699,2022-05,329108,-68591
ITA,Italy,2022-04,872909,2022-05,882980,10071
JAM,Jamaica,2022-04,746400,2022-05,636613,-109787
JEY,Jersey,2022-04,3380316,2022-05,11731176,8350860
JOR,Jordan,2022-04,4538724,2022-05,181327,-4357397
JPN,Japan,2022-04,8831116,2022-05,8394617,-436499
KAZ,Kazakhstan,2022-04,141732,2022-05,138012,-3720
KEN,Kenya,2022-04,223457,2022-05,61143,-162314
KGZ,Kyrgyzstan,2022-04,1224916,2022-05,888899,-336017
KHM,Cambodia,2022-04,7166,2022-05,3684,-3482
KIR,Kiribati,2022-04,120,2022-05,49328,49208
KNA,Saint Kitts and Nevis,2022-04,150274,2022-05,135817,-14457
KOR,South Korea,2022-04,928002,2022-05,1078285,150283
KWT,Kuwait,2022-04,82612,2022-05,88126,5514
LAO,Laos,2022-04,8635682,2022-05,28240656,19604974
LBN,Lebanon,2022-04,21281,2022-05,15673,-5608
LBR,Liberia,2022-04,698,2022-05,51989,51291
LBY,Libya,2022-04,29782,2022-05,61727,31945
LCA,Saint Lucia,2022-04,1236660,2022-05,1277882,41222
LIE,Liechtenstein,2022-04,843724,2022-05,479604,-364120
LKA,Sri Lanka,2022-04,44012,2022-05,154208,110196
LSO,Lesotho,2022-04,287,2022-05,20241,19954
LTU,Lithuania,2022-04,693,2022-05,567,-126
LUX,Luxembourg,2022-04,536833,2022-05,615158,78325
LVA,Latvia,2022-04,236507,2022-05,85871,-150636
MAC,Macao,2022-04,512468,2022-05,291845,-220623
MAR,Morocco,2022-04,55211,2022-05,42015,-13196
MCO,Monaco,2022-04,0,2022-05,0,No valid data collected for the selected month
MDA,Moldova,2022-04,274601,2022-05,107006,-167595
MDG,Madagascar,2022-04,61,2022-05,720,659
MDV,Maldives,2022-04,4743,2022-05,15789,11046
MEX,Mexico,2022-04,16563569,2022-05,23376135,6812566
MKD,North Macedonia,2022-04,2930686,2022-05,1086275,-1844411
MLI,Mali,2022-04,144566348,2022-05,114302562,-30263786
MLT,Malta,2022-04,170698,2022-05,77781,-92917
MMR,Myanmar,2022-04,9339,2022-05,41183,31844
MNE,Montenegro,2022-04,125517,2022-05,126337,820
MNG,Mongolia,2022-04,41310,2022-05,51102,9792
MOZ,Mozambique,2022-04,135813,2022-05,59539,-76274
MRT,Mauritania,2022-04,37021,2022-05,17816,-19205
MSR,Montserrat,2022-04,1655,2022-05,128,-1527
MUS,Mauritius,2022-04,180922,2022-05,324238,143316
MWI,Malawi,2022-04,24210,2022-05,15564,-8646
MYS,Malaysia,2022-04,162221,2022-05,57846,-104375
NAM,Namibia,2022-04,56193,2022-05,14228,-41965
NCL,New Caledonia,2022-04,211866,2022-05,0,No valid data collected for OM2
NER,Niger,2022-04,4436,2022-05,4188,-248
NGA,Nigeria,2022-04,132480,2022-05,27360,-105120
NIC,Nicaragua,2022-04,146,2022-05,8,-138
NIU,Niue,2022-04,5127156,2022-05,1054228,-4072928
NLD,Netherlands,2022-04,701092,2022-05,5413322,4712230
NOR,Norway,2022-04,4415575,2022-05,4878176,462601
NPL,Nepal,2022-04,64919,2022-05,113386,48467
NRU,Nauru,2022-04,4146,2022-05,62,-4084
NZL,New Zealand,2022-04,1334317,2022-05,4191538,2857221
OMN,Oman,2022-04,4575253,2022-05,572715,-4002538
OWID_AFR,Africa,2022-04,14233,2022-05,32349,18116
OWID_ASI,Asia,2022-04,540166,2022-05,1496584,956418
OWID_CYN,Northern Cyprus,2022-04,614029,2022-05,512253,-101776
OWID_ENG,England,2022-04,21475,2022-05,324740,303265
OWID_EUN,European Union,2022-04,1295341,2022-05,4317964,3022623
OWID_EUR,Europe,2022-04,0,2022-05,0,No valid data collected for the selected month
OWID_HIC,High-income countries,2022-04,81407,2022-05,157459,76052
OWID_KOS,Kosovo,2022-04,35055,2022-05,59104,24049
OWID_LIC,Low-income countries,2022-04,489844,2022-05,239701,-250143
OWID_LMC,Lower middle-income countries,2022-04,24771,2022-05,37430,12659
OWID_NAM,North America,2022-04,381141,2022-05,56003,-325138
OWID_NIR,Northern Ireland,2022-04,18700334,2022-05,3529739,-15170595
OWID_OCE,Oceania,2022-04,99305,2022-05,110075,10770
OWID_SAM,South America,2022-04,43501,2022-05,42501,-1000
OWID_SCT,Scotland,2022-04,150419,2022-05,309286,158867
