location_name,iso_code,month,cumulative_doses
Afghanistan,AFG,Mar-21,7326408
Afghanistan,AFG,Apr-21,8507942
Afghanistan,AFG,May-21,11273666
Afghanistan,AFG,Jun-21,17091219
Afghanistan,AFG,Jul-21,16480317
Afghanistan,AFG,Aug-21,29403646
Afghanistan,AFG,Sep-21,45344428
Afghanistan,AFG,Oct-21,44041147
Afghanistan,AFG,Nov-21,47819056
Afghanistan,AFG,Dec-21,62285191
Afghanistan,AFG,Jan-22,54701541
Afghanistan,AFG,Feb-22,44554908
Afghanistan,AFG,Mar-22,45259511
Afghanistan,AFG,Apr-22,27227983
Afghanistan,AFG,May-22,30214085
Afghanistan,AFG,Jun-22,34446665
Afghanistan,AFG,Jul-22,57752946
Afghanistan,AFG,Aug-22,28474040
Afghanistan,AFG,Sep-22,23179555
Afghanistan,AFG,Oct-22,35088849
Afghanistan,AFG,Nov-22,27763963
Afghanistan,AFG,Dec-22,39474593
Afghanistan,AFG,Jan-23,17795301
Afghanistan,AFG,Feb-23,15767179
Afghanistan,AFG,Mar-23,18086880
Afghanistan,AFG,Apr-23,16462206
Afghanistan,AFG,May-23,22088400
Afghanistan,AFG,Jun-23,13007877
Afghanistan,AFG,Jul-23,5805432
Afghanistan,AFG,Aug-23,3693590
Afghanistan,AFG,Sep-23,3810615
Andorra,AND,Feb-21,2929642
Argentina,ARG,Apr-23,10819725
Argentina,ARG,May-23,11025266
Argentina,ARG,Jun-23,9160885
Argentina,ARG,Jul-23,8646563
Argentina,ARG,Aug-23,8601131
Argentina,ARG,Sep-23,7821374
Argentina,ARG,Oct-23,10852770
Argentina,ARG,Nov-23,5996903
Argentina,ARG,Dec-23,2847651
Argentina,ARG,Jan-24,1798378
Austria,AUT,May-21,33887957
Austria,AUT,Jun-21,63549200
Austria,AUT,Jul-21,159271404
Austria,AUT,Aug-21,286009152
Austria,AUT,Sep-21,526022264
Austria,AUT,Oct-21,871484093
Austria,AUT,Nov-21,730859871
Austria,AUT,Dec-21,883679133
Austria,AUT,Jan-22,708014657
Austria,AUT,Feb-22,485854046
Austria,AUT,Mar-22,682447214
Austria,AUT,Apr-22,761030517
Austria,AUT,May-22,661732088
Austria,AUT,Jun-22,498838133
Austria,AUT,Jul-22,388515516
Austria,AUT,Aug-22,227560456
Austria,AUT,Sep-22,133253621
Austria,AUT,Oct-22,166202685
Austria,AUT,Nov-22,180368289
Austria,AUT,Dec-22,167033865
Austria,AUT,Jan-23,113343984
Austria,AUT,Feb-23,57573714
Austria,AUT,Mar-23,57443869
Austria,AUT,Apr-23,87475606
Austria,AUT,May-23,70123978
Austria,AUT,Jun-23,21734093
Azerbaijan,AZE,Jan-21,18591102
Azerbaijan,AZE,Feb-21,14533744
Azerbaijan,AZE,Mar-21,9582205
Azerbaijan,AZE,Apr-21,9734331
Bangladesh,BGD,Nov-22,12106052
Bangladesh,BGD,Dec-22,15146871
Bangladesh,BGD,Jan-23,21361575
Bangladesh,BGD,Feb-23,28259237
Bangladesh,BGD,Mar-23,27797212
Bangladesh,BGD,Apr-23,32962600
Bangladesh,BGD,May-23,31785564
Bangladesh,BGD,Jun-23,45218146
