Vaccine_Type,Country
CanSino,Afghanistan
Sputnik Light,Afghanistan
Sinovac,Afghanistan
Sinopharm/Beijing,Afghanistan
Johnson&Johnson,Afghanistan
Pfizer/BioNTech,Afghanistan
Covaxin,Afghanistan
Moderna,Afghanistan
Oxford/AstraZeneca,Afghanistan
Sputnik V,Afghanistan
Sinovac,Albania
Pfizer/BioNTech,Albania
Oxford/AstraZeneca,Albania
Sputnik V,Albania
Sinovac,Algeria
Sputnik V,Algeria
Oxford/AstraZeneca,Algeria
Sinopharm/Beijing,Algeria
Moderna,Andorra
Oxford/AstraZeneca,Andorra
Pfizer/BioNTech,Andorra
Oxford/AstraZeneca,Angola
Oxford/AstraZeneca,Anguilla
Pfizer/BioNTech,Anguilla
Oxford/AstraZeneca,Antigua and Barbuda
Pfizer/BioNTech,Antigua and Barbuda
Sinopharm/Beijing,Antigua and Barbuda
Sputnik V,Antigua and Barbuda
Johnson&Johnson,Antigua and Barbuda
Oxford/AstraZeneca,Argentina
Sinopharm/Beijing,Argentina
Pfizer/BioNTech,Argentina
Sputnik V,Argentina
CanSino,Argentina
Moderna,Argentina
Sputnik V,Armenia
Sputnik Light,Armenia
Johnson&Johnson,Armenia
Sinovac,Armenia
Pfizer/BioNTech,Armenia
Sinopharm/Beijing,Armenia
Moderna,Armenia
Sinopharm/Wuhan,Armenia
Oxford/AstraZeneca,Armenia
Pfizer/BioNTech,Aruba
Moderna,Australia
Oxford/AstraZeneca,Australia
Pfizer/BioNTech,Australia
Novavax,Australia
Johnson&Johnson,Australia
Oxford/AstraZeneca,Austria
Moderna,Austria
Sanofi/GSK,Austria
Valneva,Austria
Pfizer/BioNTech,Austria
Novavax,Austria
Johnson&Johnson,Austria
Sinovac,Azerbaijan
Oxford/AstraZeneca,Azerbaijan
Pfizer/BioNTech,Azerbaijan
Sputnik V,Azerbaijan
Pfizer/BioNTech,Bahamas
Oxford/AstraZeneca,Bahamas
Johnson&Johnson,Bahamas
Pfizer/BioNTech,Bahrain
Oxford/AstraZeneca,Bahrain
CanSino,Bahrain
Covaxin,Bahrain
Sinopharm/Beijing,Bahrain
Moderna,Bahrain
Johnson&Johnson,Bahrain
Sinovac,Bahrain
Sputnik Light,Bahrain
Sputnik V,Bahrain
Pfizer/BioNTech,Bangladesh
Oxford/AstraZeneca,Bangladesh
Sinovac,Bangladesh
Moderna,Bangladesh
Johnson&Johnson,Bangladesh
Sinopharm/Beijing,Bangladesh
Johnson&Johnson,Barbados
Sinopharm/Beijing,Barbados
Oxford/AstraZeneca,Barbados
Pfizer/BioNTech,Barbados
Sinopharm/Beijing,Belarus
Sputnik V,Belarus
KoviVac/Chumakov,Belarus
Sputnik Light,Belarus
Moderna,Belgium
Novavax,Belgium
Johnson&Johnson,Belgium
Pfizer/BioNTech,Belgium
Oxford/AstraZeneca,Belgium
Johnson&Johnson,Belize
Pfizer/BioNTech,Belize
Oxford/AstraZeneca,Belize
Sinopharm/Beijing,Belize
Sinovac,Benin
Johnson&Johnson,Benin
Oxford/AstraZeneca,Benin
Pfizer/BioNTech,Benin
Pfizer/BioNTech,Bermuda
Oxford/AstraZeneca,Bermuda
Sinopharm/Beijing,Bhutan
Oxford/AstraZeneca,Bhutan
Pfizer/BioNTech,Bhutan
Moderna,Bhutan
Sputnik V,Bolivia
Pfizer/BioNTech,Bolivia
Sinopharm/Beijing,Bolivia
Johnson&Johnson,Bolivia
Oxford/AstraZeneca,Bolivia
Pfizer/BioNTech,Bonaire Sint Eustatius and Saba
Moderna,Bonaire Sint Eustatius and Saba
Sinovac,Bosnia and Herzegovina
Sputnik V,Bosnia and Herzegovina
Pfizer/BioNTech,Bosnia and Herzegovina
Oxford/AstraZeneca,Bosnia and Herzegovina
Moderna,Botswana
Sinovac,Botswana
Pfizer/BioNTech,Botswana
Covaxin,Botswana
Johnson&Johnson,Botswana
Oxford/AstraZeneca,Botswana
Oxford/AstraZeneca,Brazil
Johnson&Johnson,Brazil
Pfizer/BioNTech,Brazil
Sinovac,Brazil
Oxford/AstraZeneca,British Virgin Islands
Johnson&Johnson,British Virgin Islands
Pfizer/BioNTech,Brunei
Johnson&Johnson,Brunei
Sinopharm/Beijing,Brunei
Oxford/AstraZeneca,Brunei
Moderna,Brunei
Oxford/AstraZeneca,Bulgaria
Johnson&Johnson,Bulgaria
Pfizer/BioNTech,Bulgaria
Moderna,Bulgaria
Sinopharm/Beijing,Burkina Faso
Oxford/AstraZeneca,Burkina Faso
Johnson&Johnson,Burkina Faso
Johnson&Johnson,Burundi
Sinopharm/Beijing,Burundi
Pfizer/BioNTech,Cambodia
Sinovac,Cambodia
Moderna,Cambodia
Johnson&Johnson,Cambodia
Oxford/AstraZeneca,Cambodia
Sinopharm/Beijing,Cambodia
Oxford/AstraZeneca,Cameroon
Pfizer/BioNTech,Cameroon
Sinopharm/Beijing,Cameroon
Johnson&Johnson,Cameroon
Moderna,Canada
Johnson&Johnson,Canada
Oxford/AstraZeneca,Canada
Pfizer/BioNTech,Canada
Novavax,Canada
Medicago,Canada
Pfizer/BioNTech,Cape Verde
Sinopharm/Beijing,Cape Verde
Oxford/AstraZeneca,Cape Verde
