Country_Name,Source_Name(URL),Total_Administered_Vaccines
United Arab Emirates,National Emergency Crisis and Disaster Management Authority (https://covid19.who.int/),24474
Turkey,COVID-19 Vaccine Information Platform (https://covid19asi.saglik.gov.tr/),73907
Poland,Ministry of Health (https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19),105192
Portugal,World Health Organization (https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea),122977
Congo,Africa Centres for Disease Control and Prevention (https://data.who.int/dashboards/covid19/),152148
Turkmenistan,World Health Organization (https://data.who.int/dashboards/covid19/),203208
Rwanda,World Health Organization (https://data.who.int/dashboards/covid19/),224558
Bonaire Sint Eustatius and Saba,World Health Organization (https://www.rivm.nl/sites/default/files/2021-09/COVID-19_website_rapport_eilanden_engels_35_20210902_1409.pdf),288008
Venezuela,Pan American Health Organization (https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp),366638
Dominica,Pan American Health Organization (https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp),434550
Spain,Ministry of Health (https://www.sanidad.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20230526.ods),442199
Paraguay,Pan American Health Organization (https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp),452932
Palestine,World Health Organization (https://covid19.who.int/),453083
Grenada,World Health Organization (https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp),502952
Greenland,Government of Greenland (https://corona.nun.gl/en/),572672
Solomon Islands,SPC Public Health Division (https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0),625956
Nicaragua,World Health Organization (https://data.who.int/dashboards/covid19/),679171
Curacao,Government of Curacao (https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp),835021
Democratic Republic of Congo,World Health Organization (https://data.who.int/dashboards/covid19/),859940
Montserrat,World Health Organization (https://covid19.who.int/),951645
Ireland,Heath Service Executive (https://covid19ireland-geohive.hub.arcgis.com/),960133
Nauru,World Health Organization (https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0),1005937
Botswana,Africa Centres for Disease Control and Prevention (https://data.who.int/dashboards/covid19/),1291978
Tuvalu,World Health Organization (https://data.who.int/dashboards/covid19/),1297726
Morocco,World Health Organization (https://data.who.int/dashboards/covid19/),1339097
Malawi,World Health Organization (https://data.who.int/dashboards/covid19/),1391128
Guatemala,Ministry of Health (https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp),1444492
Gambia,Africa Centres for Disease Control and Prevention (https://data.who.int/dashboards/covid19/),1523112
Sri Lanka,Ministry of Health's Epidemiology Unit (https://data.who.int/dashboards/covid19/),1638378
Myanmar,World Health Organization (https://data.who.int/dashboards/covid19/),1802985
Kosovo,Ministry of Health (https://msh.rks-gov.net/sq/statistikat-covid-19/),1862987
Bolivia,Ministry of Health via https://www.boligrafica.com/ (https://github.com/dquintani/vacunacion/),1917605
Faeroe Islands,Government of the Faeroe Islands (https://corona.fo/api),1994520
Thailand,Government of Thailand (https://ddc.moph.go.th/covid19-dashboard/),2025301
French Polynesia,SPC Public Health Division (https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0),2082780
Antigua and Barbuda,Ministry of Health (https://covid19.who.int/),2158796
Gabon,Africa Centres for Disease Control and Prevention (https://data.who.int/dashboards/covid19/),2171156
United Kingdom,Government of the United Kingdom (https://coronavirus.data.gov.uk/details/vaccinations),2171179
Australia,Government of Australia via CovidBaseAU (https://data.who.int/dashboards/covid19/),2256919
Niger,World Health Organization (https://data.who.int/dashboards/covid19/),2293086
Madagascar,World Health Organization (https://data.who.int/dashboards/covid19/),2354949
Isle of Man,Isle of Man Government (https://covid19.gov.im/general-information/covid-19-vaccination-statistics/),2364291
Burkina Faso,World Health Organization (https://data.who.int/dashboards/covid19/),2525212
Cook Islands,SPC Public Health Division (https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0),2535002
Lesotho,World Health Organization (https://data.who.int/dashboards/covid19/),2668082
Monaco,National Council (https://en.gouv.mc/Policy-Practice/Social-Affairs-and-Health/News/Minister-of-State-visits-those-working-to-combat-COVID),2921554
Saint Helena,Government of Saint Helena (https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/),2996643
Montenegro,Government of Montenegro (https://www.covidodgovor.me/),3021300
Mongolia,Ministry of Health via ikon.mn (https://ikon.mn/),3092063
Barbados,Ministry of Health (https://data.who.int/dashboards/covid19/),3121142
Tajikistan,World Health Organization (https://data.who.int/dashboards/covid19/),3412326
