Date Range (Months),United States,Wales,Canada,Denmark
2022-01,215215443,2368368,30164340,4673405
2022-02,218330536,2386176,30912775,4692757
2022-03,219898973,2400924,31188970,4698067
2022-04,221433810,2413707,31311704,4701256
2022-05,222623670,2420705,31396929,4703557
2022-06,223512235,2428741,31450822,4706060
2022-07,224439379,2443572,31496027,4707607
2022-08,225287976,2455467,31542116,4708414
2022-09,226506045,2459171,31581862,4709156
2022-10,227924209,2465484,31639845,4709901
2022-11,228900198,2470356,31690477,4710449
2022-12,229580638,2471750,31731097,4710877
2023-01,230004242,2474302,No complete data for the month,4711185
2023-02,230241646,2476227,No complete data for the month,4711475
2023-03,230457960,No complete data for the month,No complete data for the month,4711690
2023-04,230601588,No complete data for the month,No complete data for the month,4711835
2023-05,230637348,No complete data for the month,No complete data for the month,4711913
2023-06,No complete data for the month,No complete data for the month,No complete data for the month,4711990
2023-07,No complete data for the month,No complete data for the month,No complete data for the month,4711994
2023-08,No complete data for the month,No complete data for the month,No complete data for the month,4712000
2023-09,No complete data for the month,No complete data for the month,No complete data for the month,4712002
